,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
72,1443,立益,"9,387",10,"51,877",5.47,5.58,5.47,5.58,-,0.01,5.56,2,5.64,1,0.00,
75,1446,宏和,"47,515",26,"1,000,915",21.00,21.25,20.95,21.25,+,0.15,21.20,4,21.25,8,0.00,
76,1447,力鵬,"1,490,357",396,"12,924,309",8.75,8.75,8.64,8.66,-,0.11,8.66,48,8.67,1,0.00,
77,1449,佳和,"11,005",11,"58,625",5.38,5.38,5.27,5.27,-,0.03,5.27,4,5.30,7,0.00,
79,1452,宏益,"621,684",261,"13,565,286",21.85,21.95,21.70,21.80,-,0.15,21.80,75,21.90,8,12.75,
80,1453,大將,"20,423",11,"200,521",9.68,9.88,9.68,9.79,-,0.06,9.78,2,9.80,2,0.00,
85,1459,聯發,"880,300",369,"8,081,228",9.32,9.32,9.09,9.14,-,0.27,9.14,10,9.15,29,0.00,
87,1463,強盛,"374,000",212,"8,644,650",23.00,23.25,23.00,23.15,-,0.1,23.10,65,23.20,5,3.44,
90,1466,聚隆,"86,004",22,"1,026,348",11.85,11.95,11.85,11.90,-,0.05,11.90,6,11.95,10,0.00,
91,1467,南緯,"669,000",234,"8,616,450",12.90,13.00,12.80,12.90,,0.0,12.85,81,12.90,2,0.00,
92,1468,昶和,"19,000",8,"190,850",10.05,10.10,10.00,10.05,-,0.05,9.81,1,9.99,7,0.00,
93,1469,理隆,0,0,0,--,--,--,--,,0.0,14.05,2,14.30,2,0.00,
95,1471,首利,"575,010",347,"4,426,844",7.76,7.85,7.65,7.66,-,0.13,7.66,23,7.67,3,0.00,
96,1472,三洋紡,"81,847",75,"2,964,939",36.00,37.30,36.00,36.65,+,0.15,36.50,1,36.75,2,0.00,
